Winner,White_Weighted_Value,Black_Weighted_Value,White_Centre_Weighted_Value,Black_Centre_Weighted_Value,White_King_Safety,Black_King_Safety,White_Piece_Count,Black_Piece_Count,White_Center_Piece_Count,Black_Center_Piece_Count,White_Opponent_Moves,Black_Opponent_Moves,White_Rook_Positions,White_Queen_Positions,White_Knight_Positions,White_King_Positions,White_Bishop_Positions,Black_Rook_Positions,Black_Queen_Positions,Black_Knight_Positions,Black_King_Positions,Black_Bishop_Positions
White,18,17,4,3,Y,N,12,12,3,2,0,0,2,0,2,0,0,2,0,0,0,2
Black,11,9,3,4,N,Y,8,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,22,23,3,5,Y,N,13,14,3,4,0,0,0,0,0,0,1,8,3,2,4,3
White,5,5,2,3,Y,N,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0
White,23,23,3,6,Y,N,13,13,2,3,0,0,6,0,12,0,0,12,9,6,3,9
White,20,20,9,4,Y,N,11,11,4,3,0,0,6,6,6,6,3,12,9,0,9,3
Black,19,22,1,5,N,Y,10,12,1,3,0,0,18,9,9,0,9,0,0,9,9,9
Black,23,24,3,6,N,Y,13,14,3,4,0,0,0,0,0,0,0,0,0,0,0,0
White,12,12,3,5,Y,N,9,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,22,22,6,6,N,Y,12,12,4,5,0,0,0,0,0,0,0,0,0,0,0,0
Black,19,17,3,4,N,Y,11,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,15,14,3,4,Y,N,9,8,3,3,0,0,0,0,0,0,0,0,12,0,12,12
Black,10,11,2,6,N,Y,7,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,14,16,5,5,N,Y,9,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0
White,16,16,4,5,N,N,11,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0
White,25,25,7,4,Y,N,14,14,4,3,1,0,6,1,6,5,9,28,12,23,16,25
White,6,4,0,0,Y,N,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black,9,11,1,1,N,Y,5,7,1,1,0,0,0,21,0,21,21,0,0,0,0,21
White,6,7,2,4,Y,N,4,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,21,22,7,3,N,Y,11,12,3,2,0,0,0,0,0,0,0,0,0,0,0,0
White,7,7,2,5,Y,N,5,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0
White,17,17,2,6,Y,N,9,9,1,3,0,0,0,0,13,0,0,26,0,0,13,13
White,24,22,8,9,Y,N,14,12,4,5,0,0,5,5,0,0,0,5,5,5,5,0
Black,11,14,0,6,N,Y,6,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,9,8,3,2,N,Y,7,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,23,24,4,9,N,Y,13,14,3,5,0,0,0,0,0,0,0,0,0,0,0,0
Black,23,23,8,5,N,Y,14,13,6,4,0,0,0,0,0,0,0,0,0,0,0,0
White,12,12,4,7,Y,N,8,8,2,3,0,0,0,0,8,0,8,0,0,8,8,0
White,20,19,2,6,N,N,11,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0
White,22,24,7,7,Y,N,13,14,3,4,1,0,6,1,0,5,0,10,3,8,7,9
